,players,times,platform,region,emulated,date,comment,videos
0,['jeremythompson'],1438,Playstation TV,USA / NTSC,False,2019-02-14,,['https://youtu.be/XWrGUHPSq44']
1,['spora'],1498,PlayStation 2,USA / NTSC,False,2020-04-09,Вот это качество!,['https://www.youtube.com/watch?v=IB-llQcr8Pc']
2,['Zeuspot'],1509,Playstation TV,USA / NTSC,False,2019-02-18,"This is a really strong run, but I can cut off 30s with some luck and skill.
This took me 2 weaks to get

I want 24:XX

Time save:
Spooky Swamp: 5-8s
Enchanted Towers: 5s
Spike 3s
SockyD: we're not gonna tell Jeremy about it",['https://youtu.be/pd7PEwYkGWQ']
3,['absentfriend'],1549,PlayStation,USA / NTSC,True,2021-04-11,"mednafen 1.24.3
just skip over evening lake",['https://www.youtube.com/watch?v=J_V66ZvDFhw']
4,['bluntbows'],1553,PlayStation 2,USA / NTSC,False,2022-05-29,:^),['https://www.youtube.com/watch?v=q3WneVm_MdU']
5,['Walkers'],1558,PlayStation 2,USA / NTSC,False,2020-03-31,,['https://www.youtube.com/watch?v=YVM7L-e2pxM']
6,['Fady180'],1564,PlayStation,USA / NTSC,True,2022-04-28,"The JUICY firefly time save for future runs

NTSC 1.0
Mednafen 1.26.1",['https://www.twitch.tv/videos/1469260731']
7,['grantchil'],1571,Playstation TV,USA / NTSC,False,2015-10-03,,['https://www.youtube.com/watch?v=_qKtZk-S0Xk']
8,['Dactyly'],1581,PlayStation 2,USA / NTSC,False,2017-01-28,,['https://www.youtube.com/watch?v=xaarPRpWqnw']
9,['parsoFish'],1584,PlayStation 2,USA / NTSC,False,2017-06-04,,['https://www.twitch.tv/videos/149222216']
10,['JakeInTake'],1584,Playstation TV,USA / NTSC,False,2018-01-05,yeehaw,['https://www.youtube.com/watch?v=4rnLKB_O99Y']
11,['Jumpyluff'],1604,PlayStation 2,USA / NTSC,False,2020-07-07,"Вот это качество!

mod note: Spyro speedrunners are a close community, with that being said we do not condone the actions of Jumpyluff and have banned him from the community. Although the user is banned we will keep their runs up to alert others of his past actions and for archival purposes.",['https://www.youtube.com/watch?v=Hz_R3Qv4Htc']
12,['wafflewizard1'],1605,Playstation TV,USA / NTSC,False,2021-10-28,"i am literally shaking and crying

enjoy the fanfic reading in the background (sorry)
 
missed firefly and spooky ladder a billion times

 
<3 GT & DBS",['https://youtu.be/VbK8Zidso4o']
13,['WedSR'],1610,PlayStation 2,USA / NTSC,False,2017-04-07,I have reached enlightenment,['https://www.twitch.tv/videos/133919474']
14,['Nerf'],1613,PlayStation 2,USA / NTSC,False,2016-12-23,fds,['https://www.twitch.tv/nerfripp/v/109454112']
15,['Drashed'],1617,Playstation TV,USA / NTSC,False,2018-06-24,,['https://www.youtube.com/watch?v=KoUsJ3A8c4A']
16,['ColdStone'],1632,Playstation TV,USA / NTSC,False,2020-07-17,,['https://youtu.be/iM5Fzib0icQ']
17,['SSBMstuff'],1649,PlayStation 2,USA / NTSC,False,2015-05-21,standard disc speed,['http://www.twitch.tv/ssbmstuff/v/5292101']
18,['WhitePaaws'],1668,PlayStation 2,USA / NTSC,False,2022-02-02,"The endgame was so clutchhhhhh aaaaaaaaa, let's goooooooooo!!!!!!!",['https://www.youtube.com/watch?v=vfw3jL5Eg-A']
19,['faulty'],1670,Playstation TV,USA / NTSC,False,2018-05-08,"finally, a time that I don't feel pressured to come back and beat.",['https://www.twitch.tv/videos/258940317']
20,['Composer'],1670,PlayStation 2,USA / NTSC,False,2022-05-25,The 5 gems are purple,['https://www.youtube.com/watch?v=JSyZH-ZsOfc']
21,['Lewisb99'],1684,PlayStation 2,USA / NTSC,False,2016-12-23,27 soon™,['https://www.twitch.tv/lewisb_99/v/109349075']
22,['ghostyTrickster'],1711,PlayStation 2,USA / NTSC,False,2021-09-29,"we poppin' the BIGGEST bottles for top 20
(run starts at 2:30)",['https://youtu.be/QjdeRvq9izQ']
23,['vSnake'],1734,Playstation TV,USA / NTSC,False,2016-12-23,,['https://www.twitch.tv/venomsnakeishere/v/109316701']
24,['Asukero'],1739,Playstation TV,USA / NTSC,False,2018-12-11,"should be a 28:59 with re-time, solid run overall but I got trolled by scorch",['https://www.twitch.tv/videos/347457138']
25,['DoctorAnsem'],1758,PlayStation 2,EUR / PAL,False,2022-05-25,"Frozen Altars wasn't that great.
Remorsed Ridge revisited.
Scorch we do not talk about.",['https://www.twitch.tv/videos/1308957929']
26,['burgerlands2'],1764,PlayStation,USA / NTSC,True,2017-03-18,"epsxe 2.0.0

Wasn't nervous during sorceress, I'm just bad",['https://www.youtube.com/watch?v=v6W9sG6IRR4']
27,['hopKid'],1781,PlayStation 2,USA / NTSC,False,2021-03-15,"First ever ps2 pb. Love this cat.
Pardon my long ass cutscene crash in the beginning. Took me like 4 times opening the disc tray... Run starts at like 1:11 or so.",['https://youtu.be/equ7drolhh8']
28,['Rui2Pop'],1792,PlayStation,USA / NTSC,True,2021-10-30,Mednafen 1.27.1 (ntsc v.1.1),['https://youtu.be/NbOgYV8ZSZo']
29,['Panda_Desu'],1796,PlayStation,USA / NTSC,True,2016-04-15,So happy - I enjoyed every bit of the run.  ALMOST HAD A HEART ATTACK AT THE END THO BUT NP,['https://www.twitch.tv/panda_desu/v/60804353']
30,['Wojowu'],1796,PlayStation,USA / NTSC,True,2020-11-20,"SUB 30 AAAAAAAAAAAAAAAAAAAAAA
ePSXe 2.0.0 AAAAAAAAAAAAAAAAAAAAAA",['https://www.twitch.tv/videos/809663685']
31,['Fate_Wolf_'],1812,PlayStation 2,USA / NTSC,False,2022-05-09,"This run had ups and downs, I'm trying to implement new strats, and it's going well at times, and hard at times.. we are chopping time down though. another almost minute pb! ヾ(⌐■_■)ノ♪
 
retimed ~waffle",['https://www.youtube.com/watch?v=gXlqDb7QAaI']
32,['Touval'],1830,PlayStation 2,USA / NTSC,False,2014-04-09,,['https://www.twitch.tv/touval/v/47244145']
33,['zbm'],1842,PlayStation 2,USA / NTSC,False,2015-09-13,old run submitting so i'm not a total cuck in the spyro 3 any% community :),['http://i.imgur.com/ggzuACS.png']
34,['AllyDest'],1843,PlayStation 2,USA / NTSC,False,2016-12-23,,['https://www.twitch.tv/alexdest/v/109483087']
35,['Nitrofski'],1864,Playstation TV,USA / NTSC,False,2016-05-21,http://puu.sh/p0nW4/1b04eedcda.png,[]
36,['Dereklander'],1881,PlayStation 2,USA / NTSC,False,2022-02-10,Going to be a while until this gets beat; Still shocked that I actually have it.,['https://youtu.be/8JOMi6ZU9nQ']
37,['DylanJayFox'],1895,PlayStation 2,USA / NTSC,False,2022-02-24,"E n d g a m e : )
 
mod note: retimed for accuracy ",['https://www.twitch.tv/videos/1406751451']
38,['TOTOzigemm'],1899,PlayStation 2,USA / NTSC,False,2020-12-08,Yay?,['https://youtu.be/-dARyDpiX3c']
39,['wx_Bombadil'],1922,PlayStation,USA / NTSC,True,2020-09-09,"Choked on sorceress and lost the 31:xx! Only a matter of time though.

ePSXe 2.0.0
NTSC 1.0",['https://www.youtube.com/watch?v=IkRqBQANlBg']
40,['Tsmart'],1927,PlayStation,USA / NTSC,True,2013-12-21,,['https://www.twitch.tv/tsmart/v/45989488']
41,['DanielDavidson'],1929,PlayStation,USA / NTSC,True,2021-03-22,ePSXe 2.0.0,['https://youtu.be/W1qXX-NFWjg']
42,['Zibang'],1959,Playstation TV,USA / NTSC,False,2015-08-05,"http://i.imgur.com/a9WtM3B.png

9:04 Sunrise Springs B) prob going for sub 32 dunno if I need a better time than that",[]
43,['Arttles'],1965,PlayStation,USA / NTSC,True,2020-08-23,(ePSXe 2.0.0),['https://www.twitch.tv/videos/719108035']
44,['zachary'],1966,PlayStation 2,USA / NTSC,False,2020-03-19,1.1 fds,['https://www.twitch.tv/videos/570282228']
45,['Polzen'],1984,Playstation TV,USA / NTSC,False,2017-09-27,"Sorry about the terrible mic quality.. Didn't realise it before after the stream.

2 PBs 2 days in a row :D",['https://www.youtube.com/watch?v=D5nt1-3f4pY']
46,['Newantox'],2009,Playstation TV,USA / NTSC,False,2020-07-19,D:,['https://www.youtube.com/watch?v=r30PKYaYwKk']
47,['Becci_chan'],2010,Playstation TV,USA / NTSC,False,2019-09-23,"Finally I got the run I deserve; it says a lot when the worst thing about it was the Spike fight. Also, please take a look at my textbook helmet proxy, thank you! <3",['https://youtu.be/WhdzgKcJL3k']
48,['Max_Trigga'],2016,PlayStation 2,USA / NTSC,False,2020-10-14,,['https://youtu.be/3_zUpqFJ2YY']
49,['CharityRoyall'],2028,PlayStation 2,USA / NTSC,False,2022-03-13,Small PB during a vortaliany relay.,['https://www.youtube.com/watch?v=2dWqwe_7hgQ']
50,['ChrisLBC'],2046,PlayStation 2,USA / NTSC,False,2016-12-23,Our hero takes a rest.,['https://www.twitch.tv/superiorwarbringer/v/109455370']
51,['Lukasfrost9'],2071,PlayStation,USA / NTSC,True,2018-11-21,,['https://www.twitch.tv/videos/334283919']
52,['notvanni'],2124,PlayStation 2,USA / NTSC,False,2016-12-23,,['https://www.twitch.tv/notvanni/v/109435429']
53,['pylorian'],2125,PlayStation,USA / NTSC,True,2017-02-24,ePSXe 1.9.25,['https://www.youtube.com/watch?v=8cR7uhkcLXE']
